prop_id,lat,lon,region,type,actual_price,area
8838726,51.18331695,2.8063401225473,Flanders,APARTMENT,119000.0,42.0
9385035,50.8307078,4.3584928,Brussels,APARTMENT,425000.0,110.0
9401205,50.7319309,4.4810362,Wallonie,APARTMENT,395000.0,130.0
9288894,50.854901,4.3454552,Brussels,APARTMENT,745000.0,193.0
9279632,50.6304667,3.7776615,Wallonie,OFFICE,264000.0,230.0
9221146,50.4975475,4.2612664,Wallonie,APARTMENT,249000.0,185.0
8568036,50.395269,4.4276538,Wallonie,INDUSTRY,30000.0,450.0
9376982,50.6940942,4.3548145440335,Wallonie,HOUSE,520000.0,186.0
9279013,50.5893639,5.619201,Wallonie,HOUSE,475000.0,200.0
9401436,50.8156571,4.4331389,Brussels,HOUSE,575000.0,147.0
9364086,50.68498,4.4020113,Wallonie,OFFICE,1600000.0,1010.0
9304289,50.8465573,4.351697,Brussels,HOUSE,1090000.0,423.0
9344928,50.8844552,5.3499148,Flanders,HOUSE,209000.0,185.0
9186431,50.95030565,4.4013732626459,Flanders,HOUSE,2480000.0,850.0
9354336,50.88302825,3.3669119563274,Flanders,HOUSE,445000.0,221.0
9333058,50.8018201,4.3372348,Brussels,HOUSE,3500000.0,450.0
9343813,50.9254614,4.3407488,Flanders,APARTMENT,209000.0,60.0
9403151,50.6303689,5.1444837,Wallonie,HOUSE,365000.0,150.0
9355659,51.1378514,4.2017542,Flanders,INDUSTRY,600000.0,680.0
8972598,50.5822217,3.3668477,Wallonie,OFFICE,179000.0,53.0
9238302,50.5931607,4.2860216341575,Wallonie,APARTMENT,349000.0,155.0
9404708,50.8722117,3.8088238,Flanders,OFFICE,539000.0,445.0
9170279,50.6628104,4.4825691512066,Wallonie,OFFICE,795000.0,402.0
9233415,50.6195489,3.3569842,Wallonie,OFFICE,730000.0,530.0
9345237,50.8039377,4.4335002,Brussels,APARTMENT,275000.0,75.0
8682468,51.1874903,3.5666513,Flanders,APARTMENT,211500.0,81.0
9385907,51.2002043,4.4238695,Flanders,OFFICE,5692750.0,2585.0
9181244,50.6642206,4.0381301,Wallonie,HOUSE,449000.0,220.0
8786822,51.1364316,4.6922875770195,Flanders,APARTMENT,330000.0,107.0
9125053,50.47194905,4.5446545325944,Wallonie,INDUSTRY,1290000.0,4185.0
9296605,50.8473276,2.8892588,Flanders,APARTMENT,555000.0,175.0
9363743,50.8156571,4.4331389,Brussels,APARTMENT,495000.0,107.0
9161658,50.8622774,4.4039345,Brussels,APARTMENT,245000.0,40.0
9262846,50.7173563,4.3978047,Wallonie,HOUSE,1550000.0,600.0
9391468,50.7476192,3.6020465,Flanders,INDUSTRY,100000.0,120.0
7895873,51.1096418,4.0844556,Flanders,HOUSE,299000.0,300.0
9344334,51.0261294,4.5378217779072,Flanders,HOUSE,1650000.0,465.0
9366953,51.0650015,3.1006232,Flanders,HOUSE,399000.0,237.0
9328811,50.9460094,4.9038955,Flanders,APARTMENT,265000.0,111.0
9334582,50.6040225,4.4880778189719,Wallonie,HOUSE,750000.0,368.0
9340808,51.2023161,4.4151117,Flanders,APARTMENT,695000.0,151.0
7137615,50.5186877,5.233952,Wallonie,HOUSE,600000.0,500.0
9361791,50.7173563,4.3978047,Wallonie,HOUSE,895000.0,275.0
9274438,50.6895163,5.6415132,Wallonie,HOUSE,438000.0,289.0
9159169,51.0905011,5.2281486,Flanders,HOUSE,435000.0,280.0
8894995,50.8429147,3.4708214,Flanders,APARTMENT,154900.0,60.0
9129472,51.0558237,3.7253016,Flanders,APARTMENT,358000.0,61.0
9081405,51.180175,3.5709577,Flanders,HOUSE,475000.0,240.0
9344159,51.1841346,4.4263007,Flanders,HOUSE,549000.0,235.0
8396635,50.8354568,3.3953216,Flanders,INDUSTRY,647400.0,906.0
9383635,50.8277543,4.3748008,Brussels,HOUSE,580000.0,180.0
9385040,50.8307078,4.3584928,Brussels,APARTMENT,425000.0,110.0
9397486,50.7278131,4.4887211,Wallonie,HOUSE,1600000.0,560.0
9395253,50.4588091,4.081995,Wallonie,APARTMENT,176000.0,142.0
9316148,50.8407828,4.3850154,Brussels,OFFICE,155000.0,43.0
9389542,50.5931607,4.2860216341575,Wallonie,HOUSE,945000.0,315.0
9322823,51.2858265,4.481088,Flanders,HOUSE,1310000.0,605.0
9310462,50.3513246,4.1203078,Wallonie,HOUSE,315000.0,115.0
9266252,50.7808869,5.4676034,Flanders,OFFICE,165000.0,73.0
9322399,50.81788085,3.2784153903743,Flanders,APARTMENT,525000.0,219.0
9368222,50.9428791,4.1717632,Flanders,HOUSE,199000.0,215.0
9378859,50.8905887,4.2606884,Flanders,OFFICE,203150.0,239.0
9292560,51.1992693,4.5163709,Flanders,APARTMENT,440000.0,147.0
9248743,50.4920838,5.8626233,Wallonie,APARTMENT,270000.0,106.0
9390785,51.3151523,3.1249737,Flanders,APARTMENT,345000.0,92.0
9373540,51.1802427,3.5714673,Flanders,APARTMENT,250000.0,205.0
